ID,stations,全日进站量,全日出站量,全日进出站量,800m开发强度,300m开发强度,800m人口密度,800m岗位密度,800m人岗密度,300m人口密度,300m岗位密度,300m人岗密度
1,陶然亭,18700,18900,37600,,,,,,,,
2,天桥,12900,14400,27300,,,,,,,,
3,天坛东门,14500,15600,30100,,,,,,,,
4,菜市口,13800,14500,28300,,,,,,,,
5,虎坊桥,9900,10300,20200,,,,,,,,
6,广安门内,23200,25700,48900,,,,,,,,
7,珠市口,13900,13500,27400,,,,,,,,
8,桥湾,7200,7700,14900,,,,,,,,
9,磁器口,16700,16700,33400,,,,,,,,
10,广渠门内,17000,17300,34400,,,,,,,,
11,长椿街,19700,19200,38800,,,,,,,,
12,宣武门,21900,22400,44300,,,,,,,,
13,和平门,10100,9200,19300,,,,,,,,
14,前门,25500,26100,51600,,,,,,,,
15,崇文门,37500,38700,76200,,,,,,,,
16,北京站,39300,38500,77900,,,,,,,,
17,西单,45500,47800,93300,,,,,,,,
18,复兴门,26800,30400,57200,,,,,,,,
19,天安门西,13900,13100,26900,,,,,,,,
20,天安门东,25700,31700,57300,,,,,,,,
21,王府井,31200,32800,64000,,,,,,,,
22,东单,30300,34000,64200,,,,,,,,
23,建国门,25100,27600,52700,,,,,,,,
24,灵境胡同,15900,16400,32300,,,,,,,,
25,灯市口,19800,21600,41400,,,,,,,,
26,阜成门,33600,36100,69700,,,,,,,,
27,西四,11800,11500,23300,,,,,,,,
28,东四,15800,16000,31800,,,,,,,,
29,中国美术馆,11000,8400,19400,,,,,,,,
30,平安里,21500,21500,43100,,,,,,,,
31,南锣鼓巷,23200,25800,49000,,,,,,,,
32,北海北,18300,18300,36600,,,,,,,,
33,张自忠路,9200,9100,18400,,,,,,,,
34,东四十条,25400,27400,52800,,,,,,,,
35,什刹海,19600,12400,32100,,,,,,,,
36,新街口,12300,12700,25000,,,,,,,,
37,北新桥,17900,18200,36100,,,,,,,,
38,东直门,47100,53200,100300,,,,,,,,
39,鼓楼大街,17800,17700,35600,,,,,,,,
40,安定门,13800,13000,26700,,,,,,,,
