stations,非机动车停车数量,共享单车,普通自行车,电动自行车,摩托车
2号航站楼,0,0,0,0,0
3号航站楼,0,0,0,0,0
安德里北街,290,160,70,60,0
安定门,340,230,30,80,0
安河桥北,1247,248,321,662,16
安华桥,449,23,140,285,1
安立路,454,195,99,160,0
安贞门,543,175,127,241,0
奥林匹克公园,693,508,48,118,19
奥体中心,65,27,11,24,3
八宝山,1897,885,522,490,0
八角游乐园,1715,512,622,581,0
八里桥,1342,395,164,728,55
巴沟,429,103,78,248,0
白堆子,623,295,135,193,0
白盆窑,400,25,160,215,0
白石桥南,1058,420,178,460,0
百子湾,1305,774,64,357,110
北安河,2175,60,730,1385,0
北工大西门,340,120,95,110,15
北宫门,501,67,170,264,0
北海北,382,6,141,235,0
北京大学东门,720,335,180,203,2
北京南站,0,0,0,0,0
北京西站,0,0,0,0,0
北京站,590,230,80,280,0
北沙滩,663,362,99,189,13
北邵洼,1107,193,287,572,55
北神树,1770,182,358,1150,80
北太平庄,849,180,198,469,2
北土城,357,232,58,67,0
北辛安,7,0,3,4,0
北新桥,250,50,70,130,0
北苑,1039,251,721,67,0
北苑路北,1240,497,241,455,47
北运河东,399,117,51,231,0
北运河西,3221,639,385,2096,101
菜户营,88,9,31,48,0
菜市口,1100,150,280,670,0
草房,1325,460,360,420,85
草桥,1049,97,289,660,3
茶棚,88,51,15,22,0
昌平,4156,419,1495,2202,40
昌平东关,2550,225,880,1400,45
昌平西山口,1055,15,155,725,160
常营,1460,540,300,490,130
朝阳公园,770,230,125,415,0
朝阳门,560,140,110,310,0
车道沟,1315,640,240,435,0
车公庄,564,38,131,395,0
车公庄西,400,65,127,208,0
成寿寺,759,355,164,201,39
崇文门,454,103,82,269,0
传媒大学,1725,720,419,586,0
慈寿寺,1805,610,290,905,0
磁器口,168,84,26,58,0
次渠,729,181,133,384,31
次渠北,1546,543,204,771,28
次渠南,844,71,195,578,0
崔各庄,563,295,73,175,20
褡裢坡,2563,1100,950,500,13
达官营,1085,150,160,775,0
大葆台,350,0,115,235,0
大红门,1260,566,148,538,8
大红门南,158,130,3,25,0
大郊亭,205,175,8,22,0
大井,640,60,134,446,0
大石河东,30,0,15,15,0
大屯路东,1001,747,118,126,10
大瓦窑,640,0,141,499,0
大望路,1362,460,190,712,0
大兴机场,0,0,0,0,0
大兴新城,0,0,0,0,0
大钟寺,590,440,70,80,0
稻田,1330,150,300,880,0
稻香湖路,652,57,277,291,27
德茂,1131,110,398,623,0
灯市口,235,123,41,64,7
定海园,0,0,0,0,0
定海园西,0,0,0,0,0
东大桥,515,233,72,209,1
东单,868,29,235,604,0
东风北桥,886,270,256,360,0
东高地,486,8,157,298,23
东管头,320,80,40,200,0
东管头南,245,75,50,120,0
东湖渠,676,275,132,229,40
东四,265,20,85,160,0
东四十条,460,210,110,140,0
东夏园,1792,99,256,1354,83
东直门,665,115,110,440,0
动物园,130,25,24,81,0
二里沟,117,0,41,76,0
垡头,608,380,105,115,8
方庄,1190,380,531,279,0
房山城关,220,20,145,40,15
分钟寺,805,140,204,461,0
丰台东大街,730,150,180,400,0
丰台科技园,1700,500,445,755,0
丰台南路,1094,307,315,472,0
丰台站,980,258,158,564,0
俸伯,2575,210,360,855,1150
阜成门,774,53,126,595,0
阜通,1815,1233,156,227,199
复兴门,227,15,64,148,0
富丰桥,453,5,120,328,0
甘家口,188,4,53,131,0
高碑店,1029,784,90,155,0
高楼金,384,109,57,194,24
