stations,级别,区县,分区,环路,线路
陶然亭,街区级,西城区,核心区,二环以内,4号线
天桥,街区级,东城区,核心区,二环以内,8号线
天坛东门,街区级,东城区,核心区,二环以内,5号线
菜市口,区域级,西城区,核心区,二环以内,4号线、7号线
虎坊桥,街区级,西城区,核心区,二环以内,7号线
广安门内,街区级,西城区,核心区,二环以内,7号线
珠市口,区域级,西城区,核心区,二环以内,7号线、8号线
桥湾,街区级,东城区,核心区,二环以内,7号线
磁器口,区域级,东城区,核心区,二环以内,5号线、7号线
广渠门内,街区级,东城区,核心区,二环以内,7号线
长椿街,街区级,西城区,核心区,二环以内,2号线
宣武门,区域级,西城区,核心区,二环以内,2号线、4号线
和平门,街区级,西城区,核心区,二环以内,2号线
前门,城市级,东城区,核心区,二环以内,2号线、8号线
崇文门,区域级,东城区,核心区,二环以内,2号线、5号线
北京站,枢纽级,东城区,核心区,二环以内,2号线
西单,城市级,西城区,核心区,二环以内,1号线、4号线
复兴门,城市级,西城区,核心区,二环以内,1号线、2号线
天安门西,区域级,西城区,核心区,二环以内,1号线
天安门东,区域级,东城区,核心区,二环以内,1号线
王府井,城市级,东城区,核心区,二环以内,1号线、8号线
东单,区域级,东城区,核心区,二环以内,1号线、5号线
建国门,区域级,东城区,核心区,二环以内,1号线、2号线
灵境胡同,街区级,西城区,核心区,二环以内,4号线
灯市口,街区级,东城区,核心区,二环以内,5号线
阜成门,区域级,西城区,核心区,二环以内,2号线
西四,街区级,西城区,核心区,二环以内,4号线
东四,区域级,东城区,核心区,二环以内,5号线、6号线
中国美术馆,街区级,东城区,核心区,二环以内,8号线
平安里,城市级,西城区,核心区,二环以内,4号线、6号线、19号线
南锣鼓巷,区域级,东城区,核心区,二环以内,6号线、8号线
北海北,街区级,西城区,核心区,二环以内,6号线
张自忠路,街区级,东城区,核心区,二环以内,5号线
东四十条,区域级,东城区,核心区,二环以内,2号线、3号线
什刹海,区域级,东城区,核心区,二环以内,8号线
新街口,街区级,西城区,核心区,二环以内,4号线
北新桥,区域级,东城区,核心区,二环以内,5号线、首都机场线
东直门,城市级,东城区,核心区,二环以内,2号线、13号线、首都机场线
鼓楼大街,街区级,东城区,核心区,二环以内,2号线、8号线
安定门,街区级,东城区,核心区,二环以内,2号线
雍和宫,街区级,东城区,核心区,二环以内,2号线、5号线
牛街,街区级,西城区,核心区,二环以内,19号线
金鱼胡同,区域级,东城区,核心区,二环以内,8号线
太平桥,街区级,西城区,核心区,二环以内,19号线
东管头南,街区级,丰台区,城四区,二环三环之间,16号线、房山线
木樨园,区域级,东城区,核心区,二环三环之间,8号线
刘家窑,区域级,丰台区,城四区,二环三环之间,5号线
北京南站,枢纽级,丰台区,城四区,二环三环之间,4号线、14号线
景泰,街区级,东城区,核心区,二环三环之间,14号线
蒲黄榆,区域级,丰台区,城四区,二环三环之间,5号线、14号线
方庄,街区级,丰台区,城四区,二环三环之间,14号线
永定门外,街区级,东城区,核心区,二环三环之间,8号线、14号线
潘家园,街区级,朝阳区,城四区,二环三环之间,10号线
六里桥东,街区级,丰台区,城四区,二环三环之间,9号线
达官营,区域级,西城区,核心区,二环三环之间,7号线、16号线
湾子,街区级,西城区,核心区,二环三环之间,7号线
广渠门外,街区级,东城区,核心区,二环三环之间,7号线、17号线（暂缓开通）
北京西站,枢纽级,丰台区,城四区,二环三环之间,7号线、9号线
莲花桥,街区级,海淀区,城四区,二环三环之间,10号线
南礼士路,街区级,西城区,核心区,二环三环之间,1号线
木樨地,街区级,西城区,核心区,二环三环之间,1号线、16号线
军事博物馆,区域级,海淀区,城四区,二环三环之间,1号线、9号线
永安里,区域级,朝阳区,城四区,二环三环之间,1号线、17号线
甘家口,街区级,西城区,核心区,二环三环之间,16号线
